Electoral district number ,Electoral district name,Political affiliation,Votes obtained ,% Votes obtained ,Full_name,Total_valid_votes,Rank,Winner,PPC_Vote
35078,Ottawa--Vanier,Green Party,1816,3.1,Christian Proulx,58031,5,Loser,1855
35079,Ottawa West--Nepean,NDP,11163,19.4,Yavar Hameed,57402,3,Loser,1908
35079,Ottawa West--Nepean,Conservative,16473,28.7,Jennifer Jennekens,57402,2,Loser,1908
35079,Ottawa West--Nepean,Christian Heritage Party,327,0.6,Sean Mulligan,57402,6,Loser,1908
35079,Ottawa West--Nepean,Green Party,1642,2.9,David Stibbe,57402,5,Loser,1908
35079,Ottawa West--Nepean,Liberal,25889,45.1,Anita Vandenbeld,57402,1,Winner,1908
35079,Ottawa West--Nepean,PPC,1908,3.3,David Yeo,57402,4,Loser,1908
35080,Oxford,NDP,11325,18.3,Matthew Chambers,61948,3,Loser,6595
35080,Oxford,Conservative,29146,47,Dave MacKenzie,61948,1,Winner,6595
35080,Oxford,PPC,6595,10.6,Wendy Martin,61948,4,Loser,6595
35080,Oxford,Liberal,12720,20.5,Elizabeth Quinto,61948,2,Loser,6595
35080,Oxford,Green Party,1683,2.7,Bob Reid,61948,5,Loser,6595
35080,Oxford,Christian Heritage Party,479,0.8,Allen Scovil,61948,6,Loser,6595
35081,Parkdale--High Park,PPC,1642,3.1,Wilfried Richard Alexander Danzinger,52543,4,Loser,1642
35081,Parkdale--High Park,Marxist-Leninist,90,0.2,Lorne Gershuny,52543,7,Loser,1642
35081,Parkdale--High Park,Green Party,957,1.8,Diem Marchand-Lafortune,52543,5,Loser,1642
35081,Parkdale--High Park,Marijuana Party,130,0.2,Terry Parker,52543,6,Loser,1642
35081,Parkdale--High Park,Conservative,6815,13,Nestor Sanajko,52543,3,Loser,1642
35081,Parkdale--High Park,NDP,20602,39.2,Paul Taylor,52543,2,Loser,1642
35081,Parkdale--High Park,Liberal,22307,42.5,Arif Virani,52543,1,Winner,1642
35082,Parry Sound--Muskoka,Conservative,26600,47.9,Scott Aitchison,55500,1,Winner,4184
35082,Parry Sound--Muskoka,National Citizens Alliance,95,0.2,James Fawcett,55500,7,Loser,4184
35082,Parry Sound--Muskoka,NDP,9339,16.8,Heather Hay,55500,3,Loser,4184
35082,Parry Sound--Muskoka,Green Party,3099,5.6,Marc Mantha,55500,5,Loser,4184
35082,Parry Sound--Muskoka,Liberal,12014,21.6,Jovanie Nicoyishakiye,55500,2,Loser,4184
35082,Parry Sound--Muskoka,Independent,169,0.3,Daniel Predie Jr,55500,6,Loser,4184
35082,Parry Sound--Muskoka,PPC,4184,7.5,James Tole,55500,4,Loser,4184
35083,Perth--Wellington,PPC,5357,9.6,Wayne Baker,55577,4,Loser,5357
35083,Perth--Wellington,Liberal,13684,24.6,Brendan Knight,55577,2,Loser,5357
35083,Perth--Wellington,NDP,9552,17.2,Kevin Kruchkywich,55577,3,Loser,5357
35083,Perth--Wellington,Conservative,26984,48.6,John Nater,55577,1,Winner,5357
35084,Peterborough--Kawartha,Independent,218,0.3,Robert M. Bowers,70212,6,Loser,3073
35084,Peterborough--Kawartha,Conservative,27402,39,Michelle Ferreri,70212,1,Winner,3073
35084,Peterborough--Kawartha,NDP,13302,18.9,Joy Lachica,70212,3,Loser,3073
35084,Peterborough--Kawartha,PPC,3073,4.4,Paul Lawton,70212,4,Loser,3073
35084,Peterborough--Kawartha,Liberal,24664,35.1,Maryam Monsef,70212,2,Loser,3073
35084,Peterborough--Kawartha,Green Party,1553,2.2,Chanté White,70212,5,Loser,3073
35085,Pickering--Uxbridge,PPC,2328,4,Corneliu Chisu,58167,4,Loser,2328
35085,Pickering--Uxbridge,NDP,7592,13.1,Eileen Higdon,58167,3,Loser,2328
35085,Pickering--Uxbridge,Conservative,20976,36.1,Jacob Mantle,58167,2,Loser,2328
35085,Pickering--Uxbridge,Liberal,27271,46.9,Jennifer O'Connell,58167,1,Winner,2328
35086,Renfrew--Nipissing--Pembroke,PPC,4469,7.6,David Ainsworth,58518,4,Loser,4469
35086,Renfrew--Nipissing--Pembroke,Conservative,28967,49.5,Cheryl Gallant,58518,1,Winner,4469
35086,Renfrew--Nipissing--Pembroke,Independent,373,0.6,Stefan Klietsch,58518,6,Loser,4469
